pixelNo,Amplitude
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.06666666666666667
32.0,0.43333333333333335
33.0,0.5666666666666667
34.0,0.36666666666666664
35.0,0.2
36.0,0.7
37.0,0.6666666666666666
38.0,0.7333333333333333
39.0,0.6
40.0,1.5666666666666667
41.0,2.7
42.0,8.833333333333334
43.0,16.033333333333335
44.0,22.333333333333332
45.0,30.466666666666665
46.0,36.7
47.0,37.0
48.0,35.06666666666667
49.0,30.6
50.0,16.3
51.0,4.133333333333334
52.0,0.8666666666666667
53.0,1.2
54.0,1.3333333333333333
55.0,0.5666666666666667
56.0,0.06666666666666667
57.0,0.3333333333333333
58.0,0.6666666666666666
59.0,1.4666666666666666
60.0,2.3333333333333335
61.0,1.2
62.0,0.23333333333333334
63.0,0.4
64.0,1.4666666666666666
65.0,1.2
66.0,0.8
67.0,0.7333333333333333
68.0,1.6666666666666667
69.0,4.566666666666666
70.0,15.433333333333334
71.0,30.5
72.0,44.266666666666666
73.0,57.56666666666667
74.0,69.53333333333333
75.0,72.2
76.0,71.5
77.0,68.46666666666667
78.0,56.93333333333333
79.0,42.36666666666667
80.0,28.7
81.0,14.333333333333334
82.0,1.8
83.0,0.3333333333333333
84.0,2.2666666666666666
85.0,1.0
86.0,0.9333333333333333
87.0,1.3
88.0,0.3333333333333333
89.0,0.7
90.0,1.4
91.0,0.6666666666666666
92.0,0.3333333333333333
93.0,0.3333333333333333
94.0,0.06666666666666667
95.0,0.23333333333333334
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.4
128.0,0.8666666666666667
129.0,0.7333333333333333
130.0,1.0
131.0,0.3333333333333333
132.0,0.6666666666666666
133.0,1.0
134.0,0.5333333333333333
135.0,0.2
136.0,1.1333333333333333
137.0,1.0
138.0,0.2
139.0,1.3666666666666667
140.0,1.1333333333333333
141.0,3.8666666666666667
142.0,17.166666666666668
143.0,31.466666666666665
144.0,51.9
145.0,76.43333333333334
146.0,98.33333333333333
147.0,109.96666666666667
148.0,118.93333333333334
149.0,122.96666666666667
150.0,118.5
151.0,114.26666666666667
152.0,81.0
153.0,44.666666666666664
154.0,21.433333333333334
155.0,15.0
156.0,9.3
157.0,4.666666666666667
158.0,3.1666666666666665
159.0,1.0666666666666667
160.0,0.26666666666666666
161.0,0.0
162.0,0.0
163.0,0.0
164.0,0.0
165.0,0.0
166.0,0.0
167.0,0.0
168.0,0.0
169.0,0.0
170.0,0.0
171.0,0.0
172.0,0.0
173.0,0.0
174.0,0.0
175.0,0.26666666666666666
176.0,1.5333333333333334
177.0,11.9
178.0,39.6
179.0,73.76666666666667
180.0,96.26666666666667
181.0,114.8
182.0,131.96666666666667
183.0,138.83333333333334
184.0,145.0
185.0,144.0
186.0,138.96666666666667
187.0,131.56666666666666
188.0,113.23333333333333
189.0,92.73333333333333
