pixelNo,Amplitude
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.16666666666666666
35.0,1.4666666666666666
36.0,1.1333333333333333
37.0,0.4666666666666667
38.0,2.1333333333333333
39.0,6.066666666666666
40.0,14.533333333333333
41.0,21.333333333333332
42.0,27.233333333333334
43.0,31.566666666666666
44.0,32.7
45.0,31.133333333333333
46.0,29.1
47.0,24.866666666666667
48.0,20.3
49.0,15.333333333333334
50.0,9.4
51.0,4.733333333333333
52.0,1.5666666666666667
53.0,0.5
54.0,0.7666666666666667
55.0,0.9666666666666667
56.0,1.0666666666666667
57.0,0.3333333333333333
58.0,0.0
59.0,0.3333333333333333
60.0,0.6333333333333333
61.0,0.4
62.0,0.0
63.0,0.1
64.0,0.8666666666666667
65.0,2.1333333333333333
66.0,2.933333333333333
67.0,8.533333333333333
68.0,19.7
69.0,29.7
70.0,37.9
71.0,45.8
72.0,51.7
73.0,53.7
74.0,55.266666666666666
75.0,44.86666666666667
76.0,25.6
77.0,12.633333333333333
78.0,5.7
79.0,2.2666666666666666
80.0,0.5666666666666667
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,0.0
90.0,0.0
91.0,0.0
92.0,0.0
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.6
129.0,0.16666666666666666
130.0,0.9333333333333333
131.0,1.0666666666666667
132.0,0.7333333333333333
133.0,0.3333333333333333
134.0,0.23333333333333334
135.0,0.4666666666666667
136.0,0.5333333333333333
137.0,0.7666666666666667
138.0,2.7
139.0,5.5
140.0,11.8
141.0,21.5
142.0,38.06666666666667
143.0,55.1
144.0,67.0
145.0,77.56666666666666
146.0,84.93333333333334
147.0,82.6
148.0,78.1
149.0,73.06666666666666
150.0,63.93333333333333
151.0,53.5
152.0,44.36666666666667
153.0,33.46666666666667
154.0,22.3
155.0,13.433333333333334
156.0,5.366666666666666
157.0,1.6333333333333333
158.0,1.2
159.0,0.9
160.0,0.9333333333333333
161.0,0.3333333333333333
162.0,1.0
163.0,1.0
164.0,0.3333333333333333
165.0,0.3333333333333333
166.0,0.3333333333333333
167.0,0.3333333333333333
168.0,1.3333333333333333
169.0,1.3666666666666667
170.0,0.6666666666666666
171.0,1.4333333333333333
172.0,6.4
173.0,12.533333333333333
174.0,22.4
175.0,33.3
176.0,45.13333333333333
177.0,59.36666666666667
178.0,79.33333333333333
179.0,103.3
180.0,112.2
181.0,121.26666666666667
182.0,124.36666666666666
183.0,97.8
184.0,73.36666666666666
185.0,55.36666666666667
186.0,40.9
187.0,28.3
188.0,16.233333333333334
189.0,8.733333333333333
190.0,4.2
191.0,3.433333333333333
192.0,0.7666666666666667
193.0,0.0
