pixelNo,Amplitude
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.03333333333333333
33.0,0.8
34.0,0.9333333333333333
35.0,2.2
36.0,4.666666666666667
37.0,14.8
38.0,28.966666666666665
39.0,38.96666666666667
40.0,46.666666666666664
41.0,52.166666666666664
42.0,49.233333333333334
43.0,46.766666666666666
44.0,42.266666666666666
45.0,35.96666666666667
46.0,31.6
47.0,22.5
48.0,14.666666666666666
49.0,9.066666666666666
50.0,4.7
51.0,1.8666666666666667
52.0,0.5666666666666667
53.0,0.4666666666666667
54.0,0.8333333333333334
55.0,0.8
56.0,1.0
57.0,0.3333333333333333
58.0,0.0
59.0,0.3333333333333333
60.0,0.36666666666666664
61.0,0.3333333333333333
62.0,0.5666666666666667
63.0,1.0
64.0,0.6333333333333333
65.0,0.8
66.0,0.6333333333333333
67.0,4.133333333333334
68.0,12.366666666666667
69.0,20.433333333333334
70.0,31.2
71.0,42.3
72.0,51.233333333333334
73.0,61.8
74.0,70.36666666666666
75.0,66.63333333333334
76.0,57.4
77.0,47.46666666666667
78.0,35.9
79.0,25.966666666666665
80.0,17.333333333333332
81.0,9.633333333333333
82.0,3.033333333333333
83.0,0.5666666666666667
84.0,0.7
85.0,0.6333333333333333
86.0,0.8333333333333334
87.0,0.8666666666666667
88.0,0.0
89.0,0.3333333333333333
90.0,0.3333333333333333
91.0,0.0
92.0,0.3333333333333333
93.0,0.3333333333333333
94.0,0.43333333333333335
95.0,0.43333333333333335
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.13333333333333333
128.0,0.5333333333333333
129.0,0.5666666666666667
130.0,0.7
131.0,0.26666666666666666
132.0,0.6666666666666666
133.0,0.5666666666666667
134.0,0.7
135.0,2.2
136.0,5.566666666666666
137.0,12.533333333333333
138.0,23.833333333333332
139.0,40.46666666666667
140.0,62.733333333333334
141.0,79.83333333333333
142.0,94.6
143.0,109.83333333333333
144.0,109.73333333333333
145.0,102.76666666666667
146.0,94.43333333333334
147.0,81.23333333333333
148.0,66.4
149.0,55.9
150.0,48.06666666666667
151.0,39.266666666666666
152.0,29.066666666666666
153.0,17.566666666666666
154.0,10.033333333333333
155.0,5.566666666666666
156.0,1.7
157.0,0.4666666666666667
158.0,1.5666666666666667
159.0,1.3
160.0,0.3333333333333333
161.0,0.3333333333333333
162.0,0.0
163.0,0.0
164.0,0.3333333333333333
165.0,0.3333333333333333
166.0,0.3333333333333333
167.0,0.0
168.0,0.0
169.0,0.6666666666666666
170.0,0.0
171.0,0.0
172.0,1.3333333333333333
173.0,1.0
174.0,2.3333333333333335
175.0,7.866666666666666
176.0,16.166666666666668
177.0,28.866666666666667
178.0,48.93333333333333
179.0,68.4
180.0,87.53333333333333
181.0,109.5
182.0,123.0
183.0,125.53333333333333
184.0,127.93333333333334
185.0,120.03333333333333
