pixelNo,Amplitude
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,1.2666666666666666
33.0,0.8
34.0,0.4666666666666667
35.0,0.4
36.0,0.36666666666666664
37.0,0.23333333333333334
38.0,0.6
39.0,0.8666666666666667
40.0,1.5666666666666667
41.0,1.1
42.0,0.43333333333333335
43.0,0.6666666666666666
44.0,2.4
45.0,5.133333333333334
46.0,10.333333333333334
47.0,17.0
48.0,24.5
49.0,28.766666666666666
50.0,27.7
51.0,22.866666666666667
52.0,18.133333333333333
53.0,11.966666666666667
54.0,5.933333333333334
55.0,4.0
56.0,2.2
57.0,2.3333333333333335
58.0,2.6333333333333333
59.0,3.933333333333333
60.0,6.3
61.0,10.4
62.0,16.4
63.0,20.866666666666667
64.0,26.0
65.0,30.0
66.0,33.8
67.0,30.933333333333334
68.0,21.7
69.0,13.633333333333333
70.0,7.6
71.0,4.033333333333333
72.0,2.933333333333333
73.0,1.8666666666666667
74.0,1.2333333333333334
75.0,0.6666666666666666
76.0,0.1
77.0,0.26666666666666666
78.0,0.6
79.0,0.7666666666666667
80.0,0.13333333333333333
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,0.0
90.0,0.0
91.0,0.0
92.0,0.0
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.0
129.0,0.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.0
139.0,0.0
140.0,0.0
141.0,0.0
142.0,0.0
143.0,0.0
144.0,0.23333333333333334
145.0,1.4
146.0,5.6
147.0,15.066666666666666
148.0,30.6
149.0,42.166666666666664
150.0,53.56666666666667
151.0,64.9
152.0,60.46666666666667
153.0,56.43333333333333
154.0,50.7
155.0,42.36666666666667
156.0,35.3
157.0,30.233333333333334
158.0,25.633333333333333
159.0,21.1
160.0,16.666666666666668
161.0,13.2
162.0,10.166666666666666
163.0,7.9
164.0,6.8
165.0,7.866666666666666
166.0,12.166666666666666
167.0,16.833333333333332
168.0,22.3
169.0,28.433333333333334
170.0,36.733333333333334
171.0,44.666666666666664
172.0,53.13333333333333
173.0,62.96666666666667
174.0,69.03333333333333
175.0,69.8
176.0,67.76666666666667
177.0,58.5
178.0,38.86666666666667
179.0,20.866666666666667
180.0,11.233333333333333
181.0,5.033333333333333
182.0,1.8333333333333333
183.0,0.9333333333333333
184.0,0.06666666666666667
185.0,0.3333333333333333
186.0,1.0
187.0,0.6666666666666666
188.0,0.6666666666666666
189.0,0.3333333333333333
190.0,0.0
191.0,0.2
192.0,0.0
193.0,0.0
194.0,0.0
195.0,0.0
196.0,0.0
197.0,0.0
198.0,0.0
199.0,0.0
