pixelNo,Amplitude
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.1
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.3
47.0,0.4666666666666667
48.0,1.2666666666666666
49.0,3.7333333333333334
50.0,12.233333333333333
51.0,20.5
52.0,24.033333333333335
53.0,27.3
54.0,26.566666666666666
55.0,21.5
56.0,14.1
57.0,8.8
58.0,3.9
59.0,1.7
60.0,1.1666666666666667
61.0,2.3333333333333335
62.0,5.8
63.0,12.266666666666667
64.0,21.6
65.0,30.5
66.0,42.5
67.0,40.7
68.0,22.733333333333334
69.0,9.5
70.0,4.833333333333333
71.0,2.8333333333333335
72.0,1.3
73.0,0.6666666666666666
74.0,0.26666666666666666
75.0,0.43333333333333335
76.0,0.3333333333333333
77.0,0.26666666666666666
78.0,1.3333333333333333
79.0,1.4333333333333333
80.0,0.4666666666666667
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,0.0
90.0,0.0
91.0,0.0
92.0,0.0
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.0
129.0,0.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.0
139.0,0.0
140.0,0.0
141.0,0.0
142.0,0.0
143.0,0.0
144.0,0.5666666666666667
145.0,0.26666666666666666
146.0,0.5333333333333333
147.0,0.7666666666666667
148.0,1.0
149.0,2.7
150.0,8.166666666666666
151.0,14.1
152.0,37.2
153.0,64.46666666666667
154.0,83.56666666666666
155.0,90.9
156.0,102.46666666666667
157.0,88.86666666666666
158.0,74.96666666666667
159.0,59.06666666666667
160.0,45.43333333333333
161.0,30.933333333333334
162.0,24.9
163.0,20.2
164.0,17.233333333333334
165.0,18.3
166.0,19.5
167.0,23.466666666666665
168.0,29.533333333333335
169.0,35.733333333333334
170.0,52.86666666666667
171.0,70.06666666666666
172.0,85.23333333333333
173.0,101.53333333333333
174.0,115.76666666666667
175.0,115.7
176.0,112.06666666666666
177.0,97.6
178.0,61.233333333333334
179.0,28.133333333333333
180.0,13.7
181.0,6.3
182.0,0.7333333333333333
183.0,0.8666666666666667
184.0,1.0
185.0,0.4666666666666667
186.0,0.06666666666666667
187.0,0.3333333333333333
188.0,0.5333333333333333
189.0,0.5333333333333333
190.0,0.5
191.0,0.5
192.0,0.0
193.0,0.0
194.0,0.0
195.0,0.0
196.0,0.0
197.0,0.0
198.0,0.0
199.0,0.0
200.0,0.0
201.0,0.0
202.0,0.0
203.0,0.0
204.0,0.0
