pixelNo,Amplitude
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.16666666666666666
32.0,0.6666666666666666
33.0,1.3666666666666667
34.0,1.3666666666666667
35.0,2.3333333333333335
36.0,4.1
37.0,3.433333333333333
38.0,5.366666666666666
39.0,12.966666666666667
40.0,26.833333333333332
41.0,39.43333333333333
42.0,39.53333333333333
43.0,39.8
44.0,38.9
45.0,32.4
46.0,27.9
47.0,21.4
48.0,14.333333333333334
49.0,10.033333333333333
50.0,5.633333333333334
51.0,2.2333333333333334
52.0,0.5666666666666667
53.0,0.7333333333333333
54.0,1.5333333333333334
55.0,1.7
56.0,1.6666666666666667
57.0,0.8
58.0,0.36666666666666664
59.0,0.26666666666666666
60.0,0.8333333333333334
61.0,0.8333333333333334
62.0,1.0
63.0,1.0666666666666667
64.0,1.2
65.0,1.4
66.0,2.566666666666667
67.0,7.966666666666667
68.0,18.4
69.0,28.5
70.0,42.333333333333336
71.0,57.2
72.0,65.66666666666667
73.0,65.83333333333333
74.0,67.0
75.0,58.86666666666667
76.0,44.666666666666664
77.0,33.03333333333333
78.0,23.5
79.0,14.133333333333333
80.0,7.033333333333333
81.0,3.433333333333333
82.0,2.3333333333333335
83.0,1.0333333333333334
84.0,0.7333333333333333
85.0,1.3
86.0,1.4333333333333333
87.0,1.3333333333333333
88.0,0.6666666666666666
89.0,0.6666666666666666
90.0,1.6666666666666667
91.0,1.6666666666666667
92.0,0.3333333333333333
93.0,0.3333333333333333
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,1.1333333333333333
129.0,0.7333333333333333
130.0,1.7333333333333334
131.0,1.8666666666666667
132.0,1.5666666666666667
133.0,0.7
134.0,1.8333333333333333
135.0,2.066666666666667
136.0,1.2666666666666666
137.0,1.8666666666666667
138.0,5.066666666666666
139.0,14.466666666666667
140.0,31.566666666666666
141.0,48.13333333333333
142.0,65.66666666666667
143.0,81.43333333333334
144.0,90.86666666666666
145.0,97.2
146.0,102.7
147.0,91.83333333333333
148.0,83.36666666666666
149.0,70.66666666666667
150.0,58.766666666666666
151.0,45.6
152.0,36.166666666666664
153.0,26.2
154.0,17.633333333333333
155.0,11.066666666666666
156.0,4.2
157.0,1.4
158.0,1.9
159.0,0.9666666666666667
160.0,0.8666666666666667
161.0,0.5333333333333333
162.0,0.16666666666666666
163.0,0.3333333333333333
164.0,0.3333333333333333
165.0,0.26666666666666666
166.0,0.8
167.0,0.8333333333333334
168.0,1.1
169.0,1.8
170.0,1.5
171.0,0.8333333333333334
172.0,2.533333333333333
173.0,5.133333333333334
174.0,9.8
175.0,17.466666666666665
176.0,28.8
177.0,43.36666666666667
178.0,62.7
179.0,83.33333333333333
180.0,97.4
181.0,112.93333333333334
182.0,119.7
183.0,104.43333333333334
184.0,89.73333333333333
