pixelNo,Amplitude
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.23333333333333334
33.0,0.13333333333333333
34.0,0.2
35.0,0.3333333333333333
36.0,0.26666666666666666
37.0,0.06666666666666667
38.0,1.1333333333333333
39.0,0.9333333333333333
40.0,0.8666666666666667
41.0,0.6666666666666666
42.0,0.3
43.0,1.0
44.0,4.333333333333333
45.0,8.966666666666667
46.0,15.5
47.0,20.866666666666667
48.0,26.0
49.0,27.233333333333334
50.0,21.9
51.0,14.8
52.0,9.4
53.0,4.6
54.0,1.2333333333333334
55.0,0.9
56.0,1.4666666666666666
57.0,0.8333333333333334
58.0,0.4666666666666667
59.0,0.8666666666666667
60.0,0.6333333333333333
61.0,0.8
62.0,5.666666666666667
63.0,11.8
64.0,18.4
65.0,26.066666666666666
66.0,35.03333333333333
67.0,35.3
68.0,28.466666666666665
69.0,21.366666666666667
70.0,13.166666666666666
71.0,6.833333333333333
72.0,2.6333333333333333
73.0,1.0666666666666667
74.0,0.6666666666666666
75.0,0.4
76.0,0.26666666666666666
77.0,0.3333333333333333
78.0,0.6333333333333333
79.0,0.6
80.0,0.06666666666666667
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,0.0
90.0,0.0
91.0,0.0
92.0,0.0
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.0
129.0,0.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.0
139.0,0.0
140.0,0.0
141.0,0.0
142.0,0.0
143.0,1.2
144.0,4.6
145.0,9.866666666666667
146.0,16.9
147.0,27.933333333333334
148.0,42.766666666666666
149.0,52.266666666666666
150.0,60.333333333333336
151.0,67.93333333333334
152.0,59.06666666666667
153.0,50.266666666666666
154.0,42.233333333333334
155.0,36.166666666666664
156.0,30.4
157.0,23.0
158.0,15.6
159.0,10.366666666666667
160.0,6.4
161.0,2.533333333333333
162.0,1.0
163.0,0.0
164.0,0.9333333333333333
165.0,0.43333333333333335
166.0,0.7
167.0,4.1
168.0,9.8
169.0,16.4
170.0,27.4
171.0,38.9
172.0,48.766666666666666
173.0,60.733333333333334
174.0,71.73333333333333
175.0,74.56666666666666
176.0,76.9
177.0,70.76666666666667
178.0,53.03333333333333
179.0,33.46666666666667
180.0,21.333333333333332
181.0,12.866666666666667
182.0,5.733333333333333
183.0,2.7
184.0,0.9
185.0,0.6
186.0,0.5
187.0,0.6
188.0,0.8333333333333334
189.0,0.8333333333333334
190.0,0.8333333333333334
191.0,0.6
192.0,0.23333333333333334
193.0,0.0
194.0,0.0
195.0,0.0
196.0,0.0
197.0,0.0
198.0,0.0
199.0,0.0
