pixelNo,Amplitude
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.6666666666666666
39.0,0.6666666666666666
40.0,0.5333333333333333
41.0,0.3333333333333333
42.0,1.1
43.0,0.5333333333333333
44.0,0.4666666666666667
45.0,0.5333333333333333
46.0,0.9333333333333333
47.0,8.0
48.0,18.233333333333334
49.0,23.433333333333334
50.0,27.433333333333334
51.0,29.566666666666666
52.0,27.033333333333335
53.0,26.166666666666668
54.0,23.566666666666666
55.0,12.766666666666667
56.0,3.9
57.0,1.6333333333333333
58.0,0.7
59.0,0.9333333333333333
60.0,1.2333333333333334
61.0,1.1666666666666667
62.0,2.1666666666666665
63.0,4.266666666666667
64.0,8.1
65.0,16.1
66.0,24.166666666666668
67.0,28.033333333333335
68.0,30.666666666666668
69.0,30.733333333333334
70.0,25.1
71.0,16.866666666666667
72.0,10.233333333333333
73.0,6.066666666666666
74.0,2.3666666666666667
75.0,0.8666666666666667
76.0,0.2
77.0,0.23333333333333334
78.0,0.7333333333333333
79.0,0.8333333333333334
80.0,0.4
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,0.0
90.0,0.0
91.0,0.0
92.0,0.0
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.0
129.0,0.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.0
139.0,0.0
140.0,0.0
141.0,0.0
142.0,0.0
143.0,0.5333333333333333
144.0,1.5
145.0,1.4
146.0,0.6
147.0,0.36666666666666664
148.0,0.7333333333333333
149.0,8.733333333333333
150.0,28.166666666666668
151.0,46.166666666666664
152.0,65.23333333333333
153.0,85.0
154.0,97.96666666666667
155.0,102.33333333333333
156.0,110.93333333333334
157.0,91.3
158.0,69.73333333333333
159.0,49.03333333333333
160.0,33.666666666666664
161.0,18.3
162.0,11.9
163.0,8.9
164.0,5.233333333333333
165.0,3.3333333333333335
166.0,0.9
167.0,1.4333333333333333
168.0,2.7333333333333334
169.0,5.6
170.0,24.8
171.0,45.86666666666667
172.0,69.0
173.0,89.33333333333333
174.0,116.0
175.0,122.33333333333333
176.0,128.1
177.0,125.5
178.0,105.4
179.0,85.36666666666666
180.0,66.83333333333333
181.0,46.13333333333333
182.0,30.8
183.0,17.3
184.0,4.8
185.0,1.2
186.0,0.3333333333333333
187.0,0.6666666666666666
188.0,0.8666666666666667
189.0,0.16666666666666666
190.0,0.6666666666666666
191.0,0.5333333333333333
192.0,0.06666666666666667
193.0,0.0
194.0,0.0
195.0,0.0
196.0,0.0
197.0,0.0
