pixelNo,Amplitude
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,1.5
33.0,0.7
34.0,0.1
35.0,0.5
36.0,0.43333333333333335
37.0,0.3333333333333333
38.0,1.7
39.0,3.6
40.0,9.533333333333333
41.0,14.433333333333334
42.0,26.233333333333334
43.0,40.93333333333333
44.0,45.8
45.0,49.4
46.0,51.13333333333333
47.0,42.03333333333333
48.0,32.46666666666667
49.0,24.066666666666666
50.0,11.9
51.0,3.6333333333333333
52.0,0.36666666666666664
53.0,1.3666666666666667
54.0,0.7333333333333333
55.0,0.36666666666666664
56.0,0.8
57.0,0.43333333333333335
58.0,0.6333333333333333
59.0,1.0666666666666667
60.0,1.1666666666666667
61.0,0.43333333333333335
62.0,0.23333333333333334
63.0,0.26666666666666666
64.0,1.4666666666666666
65.0,1.2333333333333334
66.0,0.36666666666666664
67.0,0.8
68.0,0.7666666666666667
69.0,1.5
70.0,5.533333333333333
71.0,11.3
72.0,20.566666666666666
73.0,37.166666666666664
74.0,54.13333333333333
75.0,62.53333333333333
76.0,67.83333333333333
77.0,71.3
78.0,69.3
79.0,65.66666666666667
80.0,50.733333333333334
81.0,27.0
82.0,9.8
83.0,4.733333333333333
84.0,2.7666666666666666
85.0,0.8333333333333334
86.0,0.5666666666666667
87.0,0.4666666666666667
88.0,0.6
89.0,0.43333333333333335
90.0,0.4666666666666667
91.0,0.3333333333333333
92.0,0.6333333333333333
93.0,0.3333333333333333
94.0,0.8666666666666667
95.0,1.2
96.0,0.4666666666666667
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.4666666666666667
129.0,0.6666666666666666
130.0,1.2333333333333334
131.0,1.1333333333333333
132.0,1.2
133.0,0.4
134.0,0.16666666666666666
135.0,0.36666666666666664
136.0,0.9333333333333333
137.0,0.6
138.0,2.533333333333333
139.0,8.966666666666667
140.0,20.6
141.0,34.06666666666667
142.0,54.6
143.0,79.06666666666666
144.0,93.8
145.0,103.2
146.0,113.33333333333333
147.0,116.9
148.0,117.43333333333334
149.0,115.4
150.0,107.6
151.0,99.9
152.0,70.5
153.0,40.9
154.0,21.933333333333334
155.0,14.7
156.0,8.633333333333333
157.0,4.433333333333334
158.0,2.933333333333333
159.0,0.9333333333333333
160.0,0.23333333333333334
161.0,0.0
162.0,0.0
163.0,0.0
164.0,0.0
165.0,0.0
166.0,0.0
167.0,0.0
168.0,0.0
169.0,0.0
170.0,0.0
171.0,0.0
172.0,0.0
173.0,0.0
174.0,0.0
175.0,0.1
176.0,0.6666666666666666
177.0,5.8
178.0,16.266666666666666
179.0,29.666666666666668
180.0,50.46666666666667
181.0,77.2
182.0,100.96666666666667
183.0,116.96666666666667
184.0,135.8
185.0,149.03333333333333
186.0,160.76666666666668
187.0,169.2
188.0,163.06666666666666
189.0,156.33333333333334
190.0,130.96666666666667
